temperature,vibration,pressure,rpm,voltage,quality
72.48357076505616,0.5926177547531641,34.198066309758005,1158,204.39109097245935,Pass
69.30867849414408,0.6909416640470131,32.77390104873831,2211,205.71969166899234,Pass
73.23844269050346,0.36014324261808583,30.17889110976052,1059,214.27702947215934,Pass
77.61514928204012,0.5562969236690571,28.059189666883277,1914,206.7899350413483,Pass
68.82923312638331,0.4349357430878173,32.09466994084077,2840,217.61721539300416,Pass
68.8293152152541,0.4512874616235304,31.180456156265247,2342,209.86262008584137,Pass
77.89606407753696,0.4407606075761131,32.6855796600832,2901,219.0227694692908,Pass
73.83717364576455,0.4136009230320184,31.905515405045907,1210,234.11709375931457,Pass
67.65262807032524,0.5048521627944828,33.148658145958,1405,219.50623096443815,Pass
72.71280021792982,0.4169049883588962,28.394294365318295,1663,216.97035545098072,Pass
67.68291153593769,0.5270456825779839,33.952182196902974,2132,223.88242647785344,Pass
67.67135123214871,0.4949761890550863,30.5927988140772,2099,213.03580207077397,Pass
71.20981135783018,0.47610519531335904,36.225782617875794,1541,228.43414309396,Pass
60.43359877671101,0.4092436337958402,27.932436545731296,2337,224.95212953124113,Pass
61.375410837434835,0.4423228669431667,35.207891409495744,1997,220.38865562048565,Pass
67.18856235379513,0.5755391225825757,30.593732350387942,2140,221.54315831633588,Pass
64.93584439832789,0.5500917187624381,28.045745989156654,1926,240.41745910562852,Pass
71.57123666297637,0.40224447552014486,28.548342497837034,1867,229.4231221026787,Pass
65.45987962239394,0.5099332305429226,29.03895807541704,2727,241.99526631161334,Pass
62.93848149332354,0.575138712337179,31.272497839205748,1018,225.3203019329245,Pass
77.32824384460777,0.3330594718878628,31.5685064641065,1431,205.2830855732931,Pass
68.87111849756732,0.5543360192379935,28.278899988184264,2708,217.37826297136158,Pass
70.33764102343962,0.43373762410541533,29.92693622321705,1739,202.99795125451934,Pass
62.87625906893272,0.557059866859316,36.42681107583559,2373,225.2830303466692,Pass
67.27808637737408,0.4236740843457483,35.182629510302135,1182,227.45404197345403,Pass
70.55461294854933,0.3195117899335481,31.308971009022095,1112,211.1408400404072,Pass
64.24503211288848,0.33724575621168373,30.1140104345046,2206,213.44363620353147,Pass
71.87849009172837,0.5048084946661382,30.360093980154783,1480,221.48750896235217,Pass
66.99680655040598,0.5259722501721482,31.84055391819125,2169,208.0189593673578,Pass
68.54153125103362,0.4095683374895591,26.931622304404783,1830,207.26840230757466,Pass
66.99146693885301,0.5638592458777374,29.227870387729965,2651,232.3863204804112,Pass
79.26139092254469,0.33384799377310403,24.99424777836723,2136,221.14710618163969,Fail
69.93251387631032,0.49339202013526834,31.197669367815838,1762,214.41890642294044,Pass
64.71144535522049,0.3788983800237543,31.94158781910822,1475,203.07881111442782,Pass
74.11272456051594,0.43481638921978405,28.550440613101877,1762,228.52351356894474,Pass
